,City,Cuisines,Average_Cost,Minimum_Order,Rating,Votes,Reviews,Delivery_Time
0,Pune,"Fast Food, Rolls, Burger, Salad, Wraps",200,50,3.5,12,4,30 
1,Bangalore,"Ice Cream, Desserts",100,50,3.5,11,4,30 
2,Mumbai,"Italian, Street Food, Fast Food",150,50,3.6,99,30,65 
3,Noida,"Mughlai, North Indian, Chinese",250,99,3.7,176,95,30 
4,Bangalore,"Cafe, Beverages",200,99,3.2,521,235,65 
5,Bangalore,"South Indian, North Indian, Chinese",150,50,3.8,46,18,30 
6,Mumbai,"Beverages, Fast Food",150,50,3.7,108,31,30 
7,Delhi,"Chinese, Thai, Asian",650,50,4.0,1731,1235,45 
8,Delhi,"Mithai, Street Food",100,50,3.9,110,26,30 
9,Noida,"Fast Food, North Indian, Rolls, Chinese, Momos, Mughlai",200,50,3.9,562,294,65 
10,Mumbai,"North Indian, Chinese, Mughlai",350,50,3.8,186,61,30 
11,Pune,"Chinese, Thai, Indonesian, Italian",800,50,4.2,1693,1239,45 
12,Noida,"Burger, Fast Food, Desserts, Beverages",150,50,-,-,-,30 
13,Delhi,Beverages,50,0,3.8,184,128,45 
14,Delhi,Fast Food,100,50,3.5,23,5,30 
15,Kolkata,"Biryani, Mughlai",100,50,3.6,353,53,30 
16,Noida,Italian,100,50,-,-,-,30 
17,Mumbai,"Chinese, North Indian, South Indian, Fast Food",200,50,3.7,139,47,30 
18,Pune,"Kerala, Bihari",150,50,-,-,-,30 
19,Kolkata,South Indian,100,50,3.7,159,46,30 
20,Noida,"Chinese, North Indian, Rolls, Momos",200,99,2.8,67,23,45 
21,Noida,"North Indian, Rolls",150,50,3.9,387,160,45 
22,Noida,"North Indian, Chinese",250,50,3.0,5,2,30 
23,Noida,"Biryani, North Indian",200,99,3.7,138,26,65 
24,Bangalore,"North Indian, Chinese, Fast Food",150,50,3.2,4,1,30 
25,Bangalore,"Desserts, Ice Cream",100,50,-,-,-,45 
26,Noida,"North Indian, Chinese",100,99,3.7,110,38,45 
27,Mumbai,"Fast Food, South Indian, Street Food",150,50,3.2,15,9,45 
28,Mumbai,North Indian,150,50,3.3,44,19,45 
29,Noida,"North Indian, Chinese",200,50,3.8,18,18,30 
30,Kolkata,North Indian,150,50,3.2,18,7,30 
31,Noida,"Cafe, Mexican, Japanese, Italian, Chinese",400,50,4.0,189,132,30 
32,Pune,"Bakery, Fast Food, Rolls, Beverages",200,50,3.1,279,74,45 
33,Noida,"North Indian, Chinese",350,99,3.3,22,13,45 
34,Gurgaon,North Indian,100,50,4.0,581,111,30 
35,Noida,"Asian, Burmese, Bubble Tea, Desserts, Salad, Tea, Beverages, Ice Cream",600,50,4.7,914,499,45 
36,Pune,Street Food,100,50,3.4,23,7,30 
37,Kolkata,"Fast Food, South Indian",100,50,3.6,105,53,30 
38,Delhi,"Pizza, Fast Food",200,50,3.5,305,29,45 
39,Kolkata,"Cafe, Desserts",300,50,3.6,54,34,30 
40,Mumbai,"Mughlai, North Indian",200,50,4.0,1408,851,45 
41,Mumbai,"Desserts, Beverages",150,50,4.1,806,513,45 
42,Pune,"Bakery, Desserts, Beverages",150,50,3.7,41,22,30 
43,Hyderabad,South Indian,100,50,3.7,100,27,45 
44,Kolkata,North Indian,200,50,3.6,106,32,30 
45,Bangalore,"North Indian, Street Food",200,50,3.8,37,25,30 
46,Noida,"North Indian, Chinese",200,50,3.4,45,37,30 
47,Bangalore,Chinese,200,50,NEW,-,-,30 
48,Delhi,"Chinese, Fast Food",200,99,3.5,63,8,45 
49,Delhi,Lucknowi,200,50,-,-,-,30 
50,Pune,"South Indian, North Indian",150,50,3.1,253,35,30 
51,Pune,"Biryani, Chinese",150,50,3.2,4,4,30 
52,Mumbai,"Tea, Fast Food",100,50,3.3,12,6,30 
53,Pune,"Fast Food, Italian, Beverages",200,50,3.9,327,173,45 
54,Noida,"North Indian, Beverages",250,50,3.4,49,36,30 
55,Kolkata,Fast Food,100,50,3.3,11,1,30 
56,Pune,"Street Food, Fast Food, North Indian",150,50,2.9,8,5,45 
57,Delhi,Chinese,250,50,3.8,19,15,30 
58,Bangalore,"Rolls, Chinese",100,50,3.7,18,6,30 
59,Delhi,"South Indian, Chinese, Street Food",100,50,3.1,7,2,30 
60,Pune,"North Indian, Mangalorean",350,50,3.5,16,8,45 
61,Noida,"Bakery, Desserts, Fast Food",100,50,NEW,-,-,30 
62,Pune,"Cafe, European, Continental, Sandwich, Salad, Healthy Food",600,50,4.6,391,174,30 
63,Bangalore,Bengali,200,50,3.5,32,23,30 
64,Noida,"Bakery, Fast Food",200,50,3.3,39,11,30 
65,Noida,Fast Food,150,99,3.9,116,19,30 
66,Mumbai,Desserts,100,50,3.4,22,9,45 
67,Bangalore,"Desserts, Beverages, American",200,50,3.9,51,29,45 
68,Delhi,"Chinese, Thai",150,50,3.2,9,1,30 
69,Mumbai,"Chinese, Fast Food, Mughlai",300,50,3.7,128,30,45 
70,Bangalore,"Cafe, Continental, Fast Food",300,50,4.1,119,59,30 
71,Noida,"Chinese, Rolls",150,50,-,-,-,30 
72,Noida,"North Indian, Fast Food",200,50,3.4,26,16,30 
73,Kolkata,"Mishti, Fast Food, South Indian",100,50,4.0,381,89,65 
74,Bangalore,"South Indian, North Indian, Chinese, Beverages",350,50,4.2,441,170,30 
75,Kolkata,"Fast Food, Bengali",100,50,-,-,-,30 
76,Delhi,"Mithai, Street Food",100,50,3.7,62,10,30 
77,Bangalore,"Beverages, Desserts",100,50,3.6,7,4,30 
78,Delhi,Fast Food,100,50,3.6,90,31,30 
79,Noida,Rolls,100,50,NEW,-,-,30 
80,Mumbai,"European, Continental, North Indian, Desserts",750,50,4.3,3124,1660,45 
81,Noida,"Biryani, Mughlai, North Indian",100,50,3.5,69,37,30 
82,Noida,"North Indian, Mughlai",150,50,3.3,-,-,30 
83,Noida,"North Indian, Chinese",200,50,3.9,385,71,30 
84,Pune,"North Indian, Chinese",150,99,2.8,96,41,45 
85,Noida,"North Indian, Chinese",200,50,NEW,-,-,45 
86,Pune,"Chinese, Pizza, Fast Food",150,50,3.7,55,20,30 
87,Noida,North Indian,200,50,3.3,9,5,30 
88,Bangalore,"Biryani, Hyderabadi, North Indian, Mughlai",100,50,2.6,-,-,30 
89,Hyderabad,South Indian,50,50,3.5,12,2,30 
90,Mumbai,"Momos, Fast Food",150,50,3.5,85,40,30 
91,Gurgaon,"Mithai, North Indian, South Indian, Chinese, Street Food",150,50,NEW,-,-,30 
92,Bangalore,"South Indian, North Indian",100,50,3.7,27,5,30 
93,Bangalore,"Continental, Beverages, Desserts",200,50,NEW,-,-,30 
94,Mumbai,"Fast Food, Ice Cream, Beverages",200,50,3.8,107,47,30 
95,Noida,Fast Food,100,50,3.3,13,4,30 
96,Delhi,Fast Food,200,50,3.3,25,16,30 
97,Noida,Chinese,100,50,3.5,24,1,30 
98,Delhi,"Burger, Fast Food",100,50,-,-,-,30 
99,Delhi,Mughlai,150,50,2.8,7,3,30 
100,Bangalore,Chinese,300,99,2.9,393,191,65 
101,Pune,"North Indian, Rolls, Chinese",200,50,3.9,348,105,30 
102,Bangalore,"Andhra, Biryani",200,50,3.4,15,7,30 
103,Bangalore,Street Food,100,50,4.1,260,100,65 
104,Pune,"Burger, Fast Food",200,50,3.9,326,106,30 
105,Mumbai,Street Food,100,50,3.5,18,8,30 
